time,us
1,1
2,1
3,4
4,3
5,2
6,1
7,2
8,3
9,4
10,5
11,2
12,2
13,10
14,7
15,10
16,12
17,16
18,23
19,42
20,0
21,110
22,80
23,131
24,119
25,211
26,249
27,246
28,411
29,484
30,318
31,661
32,909
33,1059
34,915
35,1104
36,1344
37,1146
38,1342
39,1906
40,1922
41,1873
42,2087
43,1831
44,1500
45,1541
46,2408
47,4928
48,2299
49,3770
50,1856
51,1772
52,1857
53,2524
54,1721
55,3179
56,1054
57,2172
58,1687
59,1369
60,2110
61,2611
62,2040
63,2062
64,1317
65,1297
66,1252
67,2144
68,2353
69,2239
70,1510
71,1614
72,734
73,1156
74,1703
75,1746
76,1773
77,1662
78,1186
79,808
80,791
81,1568
82,1518
83,1263
84,1305
85,1080
86,633
87,500
88,696
89,1526
90,1175
91,1219
92,945
93,602
94,764
95,1034
96,994
97,1036
98,932
99,659
100,712
101,493
102,999
103,918
104,896
105,849
106,767
107,296
108,395
109,836
110,754
111,717
112,678
113,607
114,256
115,427
116,826
117,751
118,2437
119,623
120,500
121,265
122,336
123,1270
124,652
125,678
126,694
127,242
128,271
129,359
130,1174
131,829
132,982
133,806
134,717
135,391
136,400
137,861
138,953
139,939
140,908
141,853
142,415
143,372
144,1160
145,1124
146,1052
147,1304
148,914
149,475
150,1076
151,1245
152,1457
153,1357
154,1244
155,1133
156,413
157,543
158,1403
159,1450
160,1848
161,1252
162,1069
163,513
164,523
165,1076
166,1490
167,1083
168,1336
169,1035
170,571
171,445
172,1324
173,1356
174,1078
175,1151
176,956
177,444
178,473
179,1207
180,1228
181,1110
182,949
183,1006
184,290
185,529
186,1091
187,1055
188,1053
189,968
190,773
191,403
192,267
193,471
194,1136
195,974
196,1227
197,685
198,378
199,451
200,1407
201,865
202,831
203,956
204,669
205,251
206,372
207,926
208,1102
209,901
210,964
211,723
212,259
213,314
214,928
215,930
216,880
217,908
218,678
219,400
220,398
221,717
222,892
223,972
224,1014
225,590
226,394
227,314
228,817
229,970
230,828
231,899
232,690
233,385
234,459
235,933
236,1135
237,841
238,953
